Ticker,Date,Price
BTC,1/1/18,13863.14
BTC,1/2/18,13480.00
BTC,1/3/18,14781.52
BTC,1/4/18,15098.23
BTC,1/5/18,15145.00
BTC,1/6/18,16960.01
BTC,1/7/18,17115.01
BTC,1/8/18,16174.22
BTC,1/9/18,14993.73
BTC,1/10/18,14481.00
BTC,1/11/18,14970.00
BTC,1/12/18,13308.06
BTC,1/13/18,13820.00
BTC,1/14/18,14187.94
BTC,1/15/18,13656.23
BTC,1/16/18,13643.66
BTC,1/17/18,11570.01
BTC,1/18/18,11204.64
BTC,1/19/18,11305.53
BTC,1/20/18,11498.99
BTC,1/21/18,12762.80
BTC,1/22/18,11518.17
BTC,1/23/18,10766.70
BTC,1/24/18,10824.95
BTC,1/25/18,11356.80
BTC,1/26/18,11118.00
BTC,1/27/18,11086.88
BTC,1/28/18,11319.00
BTC,1/29/18,11536.00
BTC,1/30/18,11123.01
BTC,1/31/18,9995.00
BTC,2/1/18,10099.99
BTC,2/2/18,9014.22
BTC,2/3/18,8787.52
BTC,2/4/18,9227.80
BTC,2/5/18,8167.90
BTC,2/6/18,6905.20
BTC,2/7/18,7688.47
BTC,2/8/18,7575.76
BTC,2/9/18,8218.07
BTC,2/10/18,8671.00
BTC,2/11/18,8547.49
BTC,2/12/18,8072.99
BTC,2/13/18,8872.27
BTC,2/14/18,8520.00
BTC,2/15/18,9472.98
BTC,2/16/18,10031.23
BTC,2/17/18,10167.49
BTC,2/18/18,11121.50
BTC,2/19/18,10380.03
BTC,2/20/18,11140.00
BTC,2/21/18,11235.57
BTC,2/22/18,10453.83
BTC,2/23/18,9830.00
BTC,2/24/18,10144.99
BTC,2/25/18,9688.61
BTC,2/26/18,9600.00
BTC,2/27/18,10300.00
BTC,2/28/18,10556.30
BTC,3/1/18,10307.26
BTC,3/2/18,10895.93
BTC,3/3/18,11000.00
BTC,3/4/18,11432.51
BTC,3/5/18,11469.90
BTC,3/6/18,11371.50
BTC,3/7/18,10700.00
BTC,3/8/18,9925.00
BTC,3/9/18,9304.90
BTC,3/10/18,9255.00
BTC,3/11/18,8795.45
BTC,3/12/18,9533.88
BTC,3/13/18,9120.00
BTC,3/14/18,9145.42
BTC,3/15/18,8207.02
BTC,3/16/18,8260.00
BTC,3/17/18,8274.09
BTC,3/18/18,7857.59
BTC,3/19/18,8192.00
BTC,3/20/18,8589.00
BTC,3/21/18,8900.00
BTC,3/22/18,8891.81
BTC,3/23/18,8715.09
BTC,3/24/18,8927.80
BTC,3/25/18,8531.96
BTC,3/26/18,8453.00
BTC,3/27/18,8144.99
BTC,3/28/18,7793.61
BTC,3/29/18,7942.73
BTC,3/30/18,7080.00
BTC,3/31/18,6848.01
BTC,4/1/18,6928.50
BTC,4/2/18,6816.01
BTC,4/3/18,7045.01
BTC,4/4/18,7424.91
BTC,4/5/18,6791.68
BTC,4/6/18,6785.86
BTC,4/7/18,6605.08
BTC,4/8/18,6894.01
BTC,4/9/18,7020.01
BTC,4/10/18,6771.14
BTC,4/11/18,6825.00
BTC,4/12/18,6943.00
BTC,4/13/18,7915.99
BTC,4/14/18,7893.19
BTC,4/15/18,8003.11
BTC,4/16/18,8355.24
BTC,4/17/18,8048.92
BTC,4/18/18,7892.11
BTC,4/19/18,8152.05
BTC,4/20/18,8274.00
BTC,4/21/18,8866.27
BTC,4/22/18,8915.42
BTC,4/23/18,8775.10
BTC,4/24/18,8931.31
BTC,4/25/18,9645.00
BTC,4/26/18,8865.98
BTC,4/27/18,9272.12
BTC,4/28/18,8863.42
BTC,4/29/18,9329.99
BTC,4/30/18,9389.01
BTC,5/1/18,9245.37
BTC,5/2/18,9072.29
BTC,5/3/18,9190.47
BTC,5/4/18,9451.50
BTC,5/5/18,9685.00
BTC,5/6/18,9799.99
BTC,5/7/18,9600.00
BTC,5/8/18,9356.25
BTC,5/9/18,9177.81
BTC,5/10/18,9300.08
BTC,5/11/18,9010.51
BTC,5/12/18,8403.33
BTC,5/13/18,8474.31
BTC,5/14/18,8686.10
BTC,5/15/18,8670.00
BTC,5/16/18,8477.47
BTC,5/17/18,8344.01
BTC,5/18/18,8059.00
BTC,5/19/18,8238.51
BTC,5/20/18,8235.60
BTC,5/21/18,8516.86
BTC,5/22/18,8400.00
BTC,5/23/18,7987.70
BTC,5/24/18,7505.01
BTC,5/25/18,7584.15
BTC,5/26/18,7459.11
BTC,5/27/18,7337.94
BTC,5/28/18,7346.64
BTC,5/29/18,7107.94
BTC,5/30/18,7460.00
BTC,5/31/18,7380.00
BTC,6/1/18,7485.00
BTC,6/2/18,7514.32
BTC,6/3/18,7636.41
BTC,6/4/18,7706.37
BTC,6/5/18,7487.37
BTC,6/6/18,7612.51
BTC,6/7/18,7655.00
BTC,6/8/18,7684.93
BTC,6/9/18,7616.00
BTC,6/10/18,7496.41
BTC,6/11/18,6770.31
BTC,6/12/18,6885.84
BTC,6/13/18,6549.47
BTC,6/14/18,6302.32
BTC,6/15/18,6638.49
BTC,6/16/18,6391.21
BTC,6/17/18,6484.30
BTC,6/18/18,6447.15
BTC,6/19/18,6709.19
BTC,6/20/18,6736.41
BTC,6/21/18,6759.54
BTC,6/22/18,6719.01
BTC,6/23/18,6059.82
BTC,6/24/18,6178.29
BTC,6/25/18,6150.00
BTC,6/26/18,6246.01
BTC,6/27/18,6074.01
BTC,6/28/18,6132.16
BTC,6/29/18,5850.25
BTC,6/30/18,6185.00
BTC,7/1/18,6383.19
BTC,7/2/18,6349.50
BTC,7/3/18,6611.79
BTC,7/4/18,6502.62
BTC,7/5/18,6587.46
BTC,7/6/18,6532.96
BTC,7/7/18,6599.99
BTC,7/8/18,6753.29
BTC,7/9/18,6701.97
BTC,7/10/18,6664.01
BTC,7/11/18,6303.69
BTC,7/12/18,6390.04
BTC,7/13/18,6246.68
BTC,7/14/18,6216.29
BTC,7/15/18,6248.65
BTC,7/16/18,6348.73
BTC,7/17/18,6728.80
BTC,7/18/18,7315.00
BTC,7/19/18,7378.99
BTC,7/20/18,7470.01
BTC,7/21/18,7334.46
BTC,7/22/18,7408.00
BTC,7/23/18,7378.26
BTC,7/24/18,7720.08
BTC,7/25/18,8390.04
BTC,7/26/18,8157.15
BTC,7/27/18,7932.00
BTC,7/28/18,8182.64
BTC,7/29/18,8227.38
BTC,7/30/18,8216.33
BTC,7/31/18,8173.57
BTC,8/1/18,7727.28
BTC,8/2/18,7603.99
BTC,8/3/18,7533.92
BTC,8/4/18,7414.08
BTC,8/5/18,7005.00
BTC,8/6/18,7030.00
BTC,8/7/18,6938.00
BTC,8/8/18,6718.22
BTC,8/9/18,6282.50
BTC,8/10/18,6546.46
BTC,8/11/18,6146.01
BTC,8/12/18,6236.00
BTC,8/13/18,6316.00
BTC,8/14/18,6253.67
BTC,8/15/18,6195.00
BTC,8/16/18,6269.01
BTC,8/17/18,6290.39
BTC,8/18/18,6585.50
BTC,8/19/18,6396.63
BTC,8/20/18,6489.53
BTC,8/21/18,6249.12
BTC,8/22/18,6475.89
BTC,8/23/18,6348.69
BTC,8/24/18,6526.36
BTC,8/25/18,6690.88
BTC,8/26/18,6737.52
BTC,8/27/18,6709.98
BTC,8/28/18,6911.90
BTC,8/29/18,7071.01
BTC,8/30/18,7030.92
BTC,8/31/18,6983.00
BTC,9/1/18,7010.98
BTC,9/2/18,7191.07
BTC,9/3/18,7294.99
BTC,9/4/18,7256.48
BTC,9/5/18,7359.99
BTC,9/6/18,6687.96
BTC,9/7/18,6495.00
BTC,9/8/18,6395.01
BTC,9/9/18,6188.00
BTC,9/10/18,6235.02
BTC,9/11/18,6300.00
BTC,9/12/18,6282.53
BTC,9/13/18,6323.64
BTC,9/14/18,6485.99
BTC,9/15/18,6478.05
BTC,9/16/18,6521.75
BTC,9/17/18,6498.00
BTC,9/18/18,6250.71
BTC,9/19/18,6335.69
BTC,9/20/18,6386.95
BTC,9/21/18,6493.11
BTC,9/22/18,6750.00
BTC,9/23/18,6707.34
BTC,9/24/18,6696.99
BTC,9/25/18,6582.10
BTC,9/26/18,6435.00
BTC,9/27/18,6455.65
BTC,9/28/18,6680.01
BTC,9/29/18,6620.01
BTC,9/30/18,6581.00
BTC,10/1/18,6605.00
BTC,10/2/18,6572.83
BTC,10/3/18,6498.47
BTC,10/4/18,6466.03
BTC,10/5/18,6547.45
BTC,10/6/18,6593.94
BTC,10/7/18,6552.42
BTC,10/8/18,6569.99
BTC,10/9/18,6607.53
BTC,10/10/18,6591.32
BTC,10/11/18,6524.56
BTC,10/12/18,6111.97
BTC,10/13/18,6178.00
BTC,10/14/18,6196.01
BTC,10/15/18,6183.52
BTC,10/16/18,6440.43
BTC,10/17/18,6457.10
BTC,10/18/18,6443.69
BTC,10/19/18,6394.96
BTC,10/20/18,6382.99
BTC,10/21/18,6413.99
BTC,10/22/18,6415.87
BTC,10/23/18,6407.64
BTC,10/24/18,6395.13
BTC,10/25/18,6415.97
BTC,10/26/18,6395.58
BTC,10/27/18,6404.87
BTC,10/28/18,6409.11
BTC,10/29/18,6403.63
BTC,10/30/18,6266.00
BTC,10/31/18,6267.63
BTC,11/1/18,6304.18
BTC,11/2/18,6344.00
BTC,11/3/18,6349.80
BTC,11/4/18,6331.96
BTC,11/5/18,6423.29
BTC,11/6/18,6404.00
BTC,11/7/18,6448.50
BTC,11/8/18,6503.12
BTC,11/9/18,6406.24
BTC,11/10/18,6334.89
BTC,11/11/18,6347.42
BTC,11/12/18,6357.60
BTC,11/13/18,6327.87
BTC,11/14/18,6259.35
BTC,11/15/18,5605.01
BTC,11/16/18,5579.50
BTC,11/17/18,5512.26
BTC,11/18/18,5503.34
BTC,11/19/18,5560.00
BTC,11/20/18,4736.67
BTC,11/21/18,4349.24
BTC,11/22/18,4545.12
BTC,11/23/18,4268.18
BTC,11/24/18,4283.80
BTC,11/25/18,3775.00
BTC,11/26/18,3936.70
BTC,11/27/18,3731.01
BTC,11/28/18,3775.00
BTC,11/29/18,4224.86
BTC,11/30/18,4247.99
BTC,12/1/18,3976.01
BTC,12/2/18,4142.01
BTC,12/3/18,4119.98
BTC,12/4/18,3833.47
BTC,12/5/18,3901.84
BTC,12/6/18,3694.39
BTC,12/7/18,3433.30
BTC,12/8/18,3380.00
BTC,12/9/18,3401.00
BTC,12/10/18,3531.18
BTC,12/11/18,3410.15
BTC,12/12/18,3350.27
BTC,12/13/18,3430.24
BTC,12/14/18,3265.00
BTC,12/15/18,3195.71
BTC,12/16/18,3183.01
BTC,12/17/18,3194.99
BTC,12/18/18,3497.10
BTC,12/19/18,3667.76
BTC,12/20/18,3682.51
BTC,12/21/18,4075.33
BTC,12/22/18,3839.26
BTC,12/23/18,3981.24
BTC,12/24/18,3944.92
BTC,12/25/18,4045.41
BTC,12/26/18,3780.00
BTC,12/27/18,3809.88
BTC,12/28/18,3589.89
BTC,12/29/18,3887.58
BTC,12/30/18,3729.31
BTC,12/31/18,3835.40
BTC,1/1/19,3691.87
BTC,1/2/19,3826.10
BTC,1/3/19,3890.80
BTC,1/4/19,3787.57
BTC,1/5/19,3820.82
BTC,1/6/19,3799.99
BTC,1/7/19,4040.98
BTC,1/8/19,4005.97
BTC,1/9/19,3993.85
BTC,1/10/19,4004.13
BTC,1/11/19,3626.12
BTC,1/12/19,3634.73
BTC,1/13/19,3619.38
BTC,1/14/19,3514.24
BTC,1/15/19,3664.18
BTC,1/16/19,3580.19
BTC,1/17/19,3609.71
BTC,1/18/19,3643.69
BTC,1/19/19,3607.85
BTC,1/20/19,3683.50
BTC,1/21/19,3537.56
BTC,1/22/19,3531.75
BTC,1/23/19,3577.04
BTC,1/24/19,3553.01
BTC,1/25/19,3568.97
BTC,1/26/19,3562.17
BTC,1/27/19,3556.07
BTC,1/28/19,3531.02
BTC,1/29/19,3429.95
BTC,1/30/19,3395.74
BTC,1/31/19,3437.55
BTC,2/1/19,3411.50
BTC,2/2/19,3437.50
BTC,2/3/19,3468.43
BTC,2/4/19,3415.69
BTC,2/5/19,3409.57
BTC,2/6/19,3441.00
BTC,2/7/19,3366.01
BTC,2/8/19,3358.99
BTC,2/9/19,3622.00
BTC,2/10/19,3623.73
BTC,2/11/19,3652.00
BTC,2/12/19,3590.36
BTC,2/13/19,3588.06
BTC,2/14/19,3576.69
BTC,2/15/19,3561.49
BTC,2/16/19,3566.59
BTC,2/17/19,3582.37
BTC,2/18/19,3616.18
BTC,2/19/19,3867.00
BTC,2/20/19,3888.37
BTC,2/21/19,3939.00
BTC,2/22/19,3897.71
BTC,2/23/19,3942.02
BTC,2/24/19,4110.00
BTC,2/25/19,3731.09
BTC,2/26/19,3818.78
BTC,2/27/19,3799.49
BTC,2/28/19,3800.35
BTC,3/1/19,3792.14
BTC,3/2/19,3806.17
BTC,3/3/19,3809.70
